p;L;L(p);R(p);T(p)
70;50;1.2;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.2;0.02;1.00000
70;50;1.14;0.02;1.00000
70;50;1.18;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.2;0.02;1.00000
70;50;1.16;0.02;1.00000
70;50;1.26;0;-nan(ind)
70;50;1.2;0.02;1.00000
70;50;1.2;0.02;1.00000
70;50;1.14;0;-nan(ind)
70;50;1.12;0;-nan(ind)
70;50;1.24;0.02;1.00000
70;50;1.18;0;-nan(ind)
70;50;1.22;0.02;1.00000
70;50;1.24;0;-nan(ind)
70;50;1.18;0.02;1.00000
70;50;1.16;0;-nan(ind)
70;50;1.18;0.02;1.00000
70;50;1.22;0.02;1.00000
70;50;1.18;0.02;2.00000
70;50;1.22;0.02;1.00000
70;50;1.16;0;-nan(ind)
70;50;1.18;0.02;1.00000
70;50;1.2;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.2;0.02;1.00000
70;50;1.2;0;-nan(ind)
70;50;1.24;0.02;1.00000
70;50;1.16;0.02;1.00000
70;50;1.16;0.02;1.00000
70;50;1.2;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.12;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.28;0;-nan(ind)
70;50;1.24;0;-nan(ind)
70;50;1.18;0.02;1.00000
70;50;1.26;0.02;1.00000
70;50;1.22;0;-nan(ind)
70;50;1.2;0.02;1.00000
70;50;1.22;0;-nan(ind)
70;50;1.1;0;-nan(ind)
70;50;1.12;0;-nan(ind)
70;50;1.24;0.02;1.00000
70;50;1.14;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.2;0.02;1.00000
70;50;1.2;0.02;1.00000
70;50;1.12;0.02;1.00000
70;50;1.2;0.02;1.00000
70;50;0.22;0;-nan(ind)
70;50;1.24;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.14;0.02;2.00000
70;50;1.12;0.02;1.00000
70;50;1.16;0;-nan(ind)
70;50;1.08;0;-nan(ind)
70;50;1.22;0.02;1.00000
70;50;1.18;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.24;0.02;1.00000
70;50;1.18;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.22;0.02;1.00000
70;50;1.12;0.02;1.00000
70;50;1.18;0.02;2.00000
70;50;1.18;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;0.26;0;-nan(ind)
70;50;1.16;0.02;1.00000
70;50;1.2;0;-nan(ind)
70;50;1.16;0.02;1.00000
70;50;1.18;0;-nan(ind)
70;50;1.14;0.02;1.00000
70;50;1.18;0;-nan(ind)
70;50;1.2;0.02;1.00000
70;50;1.16;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.18;0.02;1.00000
70;50;1.18;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.24;0.02;1.00000
70;50;1.26;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.22;0.02;1.00000
70;50;1.2;0.02;1.00000
70;50;1.12;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.2;0.02;1.00000
70;50;1.12;0;-nan(ind)
70;50;1.08;0;-nan(ind)
70;50;1.12;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.12;0.02;1.00000
70;50;1.18;0;-nan(ind)
70;50;1.18;0.02;1.00000
70;50;1.32;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.1;0.02;1.00000
70;50;1.16;0;-nan(ind)
70;50;1.12;0;-nan(ind)
70;50;1.26;0;-nan(ind)
70;50;1.18;0.02;1.00000
70;50;1.18;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.12;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.28;0;-nan(ind)
70;50;1.18;0.02;1.00000
70;50;1.18;0;-nan(ind)
70;50;1.2;0.02;1.00000
70;50;1.18;0;-nan(ind)
70;50;1.12;0.02;1.00000
70;50;1.18;0.02;1.00000
70;50;1.2;0.02;1.00000
70;50;1.22;0.02;2.00000
70;50;1.2;0.02;1.00000
70;50;1.22;0;-nan(ind)
70;50;1.12;0;-nan(ind)
70;50;1.1;0.02;1.00000
70;50;1.16;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.16;0.02;1.00000
70;50;1.14;0.02;1.00000
70;50;1.26;0;-nan(ind)
70;50;1.24;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.12;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.24;0;-nan(ind)
70;50;1.26;0;-nan(ind)
70;50;1.12;0.02;1.00000
70;50;1.16;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;0.18;0.02;1.00000
70;50;1.14;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.18;0.02;1.00000
70;50;1.14;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.16;0.02;1.00000
70;50;1.2;0.02;1.00000
70;50;1.18;0;-nan(ind)
70;50;1.12;0;-nan(ind)
70;50;1.2;0.02;1.00000
70;50;1.22;0.02;1.00000
70;50;1.2;0;-nan(ind)
70;50;1.14;0.02;1.00000
70;50;1.14;0.02;2.00000
70;50;1.2;0.02;1.00000
70;50;1.14;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.1;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.2;0.02;1.00000
70;50;1.14;0;-nan(ind)
70;50;1.18;0.02;1.00000
70;50;1.18;0.02;1.00000
70;50;1.18;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.26;0.02;1.00000
70;50;1.14;0;-nan(ind)
70;50;1.24;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.24;0;-nan(ind)
70;50;1.18;0.02;1.00000
70;50;1.16;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.18;0.02;1.00000
70;50;1.24;0;-nan(ind)
70;50;1.12;0;-nan(ind)
70;50;1.26;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.24;0.02;1.00000
70;50;1.2;0.02;1.00000
70;50;1.22;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.28;0;-nan(ind)
70;50;1.1;0.02;1.00000
70;50;1.24;0.02;1.00000
70;50;1.18;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.14;0.02;1.00000
70;50;1.16;0.02;1.00000
70;50;1.16;0.02;1.00000
70;50;1.18;0;-nan(ind)
70;50;1.14;0.02;1.00000
70;50;1.14;0;-nan(ind)
70;50;1.16;0.02;1.00000
70;50;1.18;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.12;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.34;0;-nan(ind)
70;50;1.26;0.02;1.00000
70;50;1.1;0;-nan(ind)
70;50;1.12;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.2;0.02;1.00000
70;50;1.16;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.26;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.22;0.02;1.00000
70;50;1.18;0.02;2.00000
70;50;1.26;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.18;0.02;1.00000
70;50;1.2;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.2;0.02;1.00000
70;50;1.16;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.24;0.02;1.00000
70;50;1.22;0;-nan(ind)
70;50;1.22;0.02;2.00000
70;50;1.16;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.26;0.02;1.00000
70;50;1.16;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.26;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.18;0.02;1.00000
70;50;1.2;0;-nan(ind)
70;50;1.08;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.2;0.02;1.00000
70;50;1.16;0;-nan(ind)
70;50;1.28;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.16;0.02;1.00000
70;50;1.14;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.24;0.02;1.00000
70;50;1.2;0;-nan(ind)
70;50;1.14;0.02;1.00000
70;50;1.22;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.24;0;-nan(ind)
70;50;1.22;0.02;1.00000
70;50;1.22;0;-nan(ind)
70;50;1.2;0.02;1.00000
70;50;1.18;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.28;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.12;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.2;0.02;1.00000
70;50;1.22;0.02;1.00000
70;50;1.24;0;-nan(ind)
70;50;1.18;0.02;1.00000
70;50;1.2;0;-nan(ind)
70;50;1.16;0.02;1.00000
70;50;1.16;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.26;0.02;1.00000
70;50;1.22;0.02;1.00000
70;50;1.2;0;-nan(ind)
70;50;1.2;0.02;1.00000
70;50;1.18;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.14;0.02;1.00000
70;50;1.18;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.2;0.02;1.00000
70;50;1.26;0.02;1.00000
70;50;1.22;0.02;2.00000
70;50;1.22;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.2;0.02;1.00000
70;50;1.24;0;-nan(ind)
70;50;1.12;0;-nan(ind)
70;50;1.26;0;-nan(ind)
70;50;0.26;0;-nan(ind)
70;50;1.24;0.02;1.00000
70;50;1.24;0.02;1.00000
70;50;1.16;0.02;2.00000
70;50;1.18;0;-nan(ind)
70;50;0.24;0;-nan(ind)
70;50;1.18;0.02;1.00000
70;50;1.12;0.02;1.00000
70;50;1.16;0;-nan(ind)
70;50;1.16;0.02;1.00000
70;50;1.22;0.02;1.00000
70;50;1.22;0;-nan(ind)
70;50;1.12;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.24;0;-nan(ind)
70;50;1.08;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.28;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.28;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.16;0.02;1.00000
70;50;1.2;0;-nan(ind)
70;50;1.08;0;-nan(ind)
70;50;1.34;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.14;0.02;1.00000
70;50;1.16;0;-nan(ind)
70;50;1.14;0.02;1.00000
70;50;1.16;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.24;0.02;1.00000
70;50;1.18;0;-nan(ind)
70;50;1.2;0.02;1.00000
70;50;1.14;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.14;0.02;1.00000
70;50;1.2;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.24;0;-nan(ind)
70;50;1.26;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.24;0.02;1.00000
70;50;1.24;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.08;0;-nan(ind)
70;50;1.16;0.02;1.00000
70;50;1.22;0;-nan(ind)
70;50;1.16;0.02;1.00000
70;50;1.22;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.18;0.02;1.00000
70;50;1.18;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.26;0;-nan(ind)
70;50;1.1;0.02;2.00000
70;50;1.12;0.02;1.00000
70;50;1.2;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.18;0.02;1.00000
70;50;1.24;0;-nan(ind)
70;50;1.24;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.18;0.02;1.00000
70;50;1.2;0.02;1.00000
70;50;1.24;0.02;1.00000
70;50;1.16;0.02;1.00000
70;50;1.2;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.2;0.02;2.00000
70;50;1.24;0.02;1.00000
70;50;1.14;0;-nan(ind)
70;50;1.22;0.02;1.00000
70;50;1.22;0;-nan(ind)
70;50;0.24;0;-nan(ind)
70;50;1.1;0.02;1.00000
70;50;1.2;0;-nan(ind)
70;50;1.12;0.02;1.00000
70;50;1.14;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.12;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.16;0.02;1.00000
70;50;1.16;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.28;0;-nan(ind)
70;50;1.24;0;-nan(ind)
70;50;1.26;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.2;0.02;1.00000
70;50;1.18;0.02;1.00000
70;50;1.24;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.24;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.26;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.2;0.02;1.00000
70;50;1.16;0;-nan(ind)
70;50;1.08;0;-nan(ind)
70;50;1.12;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;0.26;0.02;1.00000
70;50;1.22;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.22;0.02;1.00000
70;50;1.14;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.22;0.02;1.00000
70;50;1.14;0;-nan(ind)
70;50;1.18;0.02;1.00000
70;50;1.22;0;-nan(ind)
70;50;1.18;0.02;1.00000
70;50;1.26;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.12;0;-nan(ind)
70;50;1.24;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.24;0.02;1.00000
70;50;1.2;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.24;0.02;1.00000
70;50;1.22;0;-nan(ind)
70;50;0.24;0;-nan(ind)
70;50;1.12;0.02;1.00000
70;50;1.18;0;-nan(ind)
70;50;1.12;0.02;2.00000
70;50;1.18;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.18;0.02;1.00000
70;50;0.22;0.02;2.00000
70;50;1.24;0;-nan(ind)
70;50;1.22;0.02;1.00000
70;50;1.22;0.02;1.00000
70;50;1.12;0.02;1.00000
70;50;1.22;0.02;1.00000
70;50;1.2;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.22;0.02;1.00000
70;50;1.18;0.02;1.00000
70;50;1.18;0;-nan(ind)
70;50;1.24;0;-nan(ind)
70;50;1.12;0;-nan(ind)
70;50;1.18;0.02;1.00000
70;50;1.1;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.24;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.1;0.02;1.00000
70;50;1.2;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.24;0;-nan(ind)
70;50;1.12;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.16;0.02;1.00000
70;50;1.3;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.24;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.3;0;-nan(ind)
70;50;1.22;0.02;1.00000
70;50;1.24;0;-nan(ind)
70;50;1.24;0;-nan(ind)
70;50;1.16;0.02;1.00000
70;50;1.14;0.02;1.00000
70;50;1.22;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.2;0.02;1.00000
70;50;1.14;0;-nan(ind)
70;50;1.26;0;-nan(ind)
70;50;1.24;0;-nan(ind)
70;50;1.2;0.02;1.00000
70;50;1.18;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.24;0;-nan(ind)
70;50;1.14;0.02;1.00000
70;50;1.18;0;-nan(ind)
70;50;1.12;0.02;1.00000
70;50;1.18;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.2;0.02;1.00000
70;50;1.18;0.02;1.00000
70;50;0.2;0;-nan(ind)
70;50;1.24;0;-nan(ind)
70;50;1.18;0.02;1.00000
70;50;1.22;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.16;0.02;1.00000
70;50;1.2;0;-nan(ind)
70;50;1.24;0;-nan(ind)
70;50;1.2;0.02;1.00000
70;50;1.22;0.02;1.00000
70;50;1.16;0;-nan(ind)
70;50;1.12;0;-nan(ind)
70;50;1.24;0;-nan(ind)
70;50;1.24;0;-nan(ind)
70;50;1.14;0.02;1.00000
70;50;1.14;0;-nan(ind)
70;50;1.26;0.02;1.00000
70;50;1.18;0;-nan(ind)
70;50;1.24;0;-nan(ind)
70;50;1.3;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.12;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.2;0.02;1.00000
70;50;1.18;0.02;1.00000
70;50;1.22;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.12;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.2;0.02;1.00000
70;50;1.22;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.18;0.02;1.00000
70;50;1.24;0.02;1.00000
70;50;1.18;0.02;1.00000
70;50;1.14;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.24;0.02;1.00000
70;50;1.18;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.24;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.18;0.02;1.00000
70;50;1.14;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.2;0.02;1.00000
70;50;1.18;0.02;1.00000
70;50;1.2;0.02;1.00000
70;50;1.28;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.24;0.02;1.00000
70;50;1.16;0.02;1.00000
70;50;1.18;0;-nan(ind)
70;50;1.18;0.02;1.00000
70;50;1.14;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.06;0;-nan(ind)
70;50;1.24;0;-nan(ind)
70;50;1.26;0.02;1.00000
70;50;1.14;0.02;1.00000
70;50;1.24;0;-nan(ind)
70;50;1.26;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.24;0;-nan(ind)
70;50;1.18;0.02;1.00000
70;50;1.22;0;-nan(ind)
70;50;1.12;0.02;1.00000
70;50;1.22;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.24;0.02;1.00000
70;50;1.26;0;-nan(ind)
70;50;0.26;0.02;2.00000
70;50;1.24;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.22;0.02;1.00000
70;50;1.18;0;-nan(ind)
70;50;1.28;0;-nan(ind)
70;50;1.24;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.12;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.14;0.02;1.00000
70;50;1.2;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.28;0.02;2.00000
70;50;1.22;0.02;1.00000
70;50;1.16;0;-nan(ind)
70;50;1.26;0;-nan(ind)
70;50;1.26;0.02;1.00000
70;50;1.18;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.26;0.02;1.00000
70;50;1.16;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.2;0.02;1.00000
70;50;1.16;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.18;0.02;2.00000
70;50;1.14;0;-nan(ind)
70;50;1.2;0.02;1.00000
70;50;1.18;0;-nan(ind)
70;50;1.24;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.18;0.02;1.00000
70;50;1.24;0;-nan(ind)
70;50;1.14;0.02;1.00000
70;50;1.18;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.24;0;-nan(ind)
70;50;1.24;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.12;0.02;1.00000
70;50;1.2;0.02;1.00000
70;50;1.12;0;-nan(ind)
70;50;1.14;0.02;1.00000
70;50;1.2;0.02;1.00000
70;50;1.24;0;-nan(ind)
70;50;1.16;0.02;1.00000
70;50;1.14;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.18;0.02;1.00000
70;50;1.2;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.12;0.02;1.00000
70;50;1.22;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.24;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.22;0.02;1.00000
70;50;1.14;0;-nan(ind)
70;50;0.24;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.12;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.22;0.02;1.00000
70;50;1.16;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.2;0.02;1.00000
70;50;1.24;0.02;1.00000
70;50;1.18;0.02;1.00000
70;50;1.32;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.24;0;-nan(ind)
70;50;1.22;0.02;1.00000
70;50;1.18;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.12;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.16;0.02;1.00000
70;50;1.16;0.02;1.00000
70;50;1.18;0;-nan(ind)
70;50;1.12;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;1.26;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;0.22;0;-nan(ind)
70;50;1.16;0;-nan(ind)
70;50;0.22;0.02;2.00000
70;50;1.22;0.02;1.00000
70;50;1.16;0;-nan(ind)
70;50;1.24;0.02;2.00000
70;50;1.28;0;-nan(ind)
70;50;1.18;0.02;1.00000
70;50;1.18;0.02;1.00000
70;50;1.24;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.22;0;-nan(ind)
70;50;1.24;0;-nan(ind)
70;50;1.14;0;-nan(ind)
70;50;1.18;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.2;0;-nan(ind)
70;50;1.1;0;-nan(ind)
